'조사번호'	'조사지역'	'주구분'	'조사일자'	'시간대'	'X좌표'	'Y좌표'	'행정구역명'	'날씨'	'남자10대'	'남자20대'	'남자30대'	'남자40대'	'남자50대'	'여자10대'	'여자20대'	'여자30대'	'여자40대'	'여자50대'
'2679'	'정자1동 KFC 앞'	'주중'	'2010-07-05'	'12시~13시까지'	'321737'	'529219'	'경기도 성남시 정자3동'	'맑음'	'11'	'25'	'29'	'38'	'5'	'7'	'18'	'15'	'28'	'4'
'2679'	'정자1동 KFC 앞'	'주중'	'2010-07-05'	'19시~20시까지'	'321737'	'529219'	'경기도 성남시 정자3동'	'맑음'	'31'	'15'	'18'	'14'	'1'	'22'	'20'	'27'	'13'	'8'
'2679'	'정자1동 KFC 앞'	'주말'	'2010-07-03'	'12시~13시까지'	'321737'	'529219'	'경기도 성남시 정자3동'	'비'	'6'	'38'	'18'	'30'	'16'	'24'	'60'	'8'	'28'	'6'
'2679'	'정자1동 KFC 앞'	'주말'	'2010-07-03'	'19시~20시까지'	'321737'	'529219'	'경기도 성남시 정자3동'	'비'	'19'	'25'	'40'	'28'	'30'	'28'	'16'	'39'	'20'	'25'
'2680'	'정자1동 국민은행 앞'	'주중'	'2010-07-05'	'12시~13시까지'	'321767'	'529355'	'경기도 성남시 정자동'	'흐림'	'8'	'3'	'7'	'12'	'9'	'1'	'12'	'16'	'9'	'8'
'2680'	'정자1동 국민은행 앞'	'주중'	'2010-07-05'	'19시~20시까지'	'321767'	'529355'	'경기도 성남시 정자동'	'흐림'	'19'	'15'	'18'	'3'	'16'	'17'	'20'	'30'	'18'	'13'
'2680'	'정자1동 국민은행 앞'	'주말'	'2010-07-03'	'12시~13시까지'	'321767'	'529355'	'경기도 성남시 정자동'	'비'	'9'	'8'	'9'	'11'	'8'	'16'	'10'	'11'	'15'	'3'
'2680'	'정자1동 국민은행 앞'	'주말'	'2010-07-03'	'19시~20시까지'	'321767'	'529355'	'경기도 성남시 정자동'	'비'	'14'	'15'	'32'	'16'	'11'	'4'	'19'	'20'	'13'	'9'
'2681'	'농협, 뚜레쥬르 앞'	'주중'	'2010-07-06'	'12시~13시까지'	'321094'	'530095'	'경기도 성남시 정자1동'	'흐림'	'7'	'38'	'24'	'32'	'8'	'5'	'22'	'43'	'13'	'9'
'2681'	'농협, 뚜레쥬르 앞'	'주중'	'2010-07-06'	'19시~20시까지'	'321094'	'530095'	'경기도 성남시 정자1동'	'흐림'	'26'	'10'	'16'	'29'	'15'	'35'	'14'	'40'	'46'	'28'
'2681'	'농협, 뚜레쥬르 앞'	'주말'	'2010-07-04'	'12시~13시까지'	'321094'	'530095'	'경기도 성남시 정자1동'	'맑음'	'76'	'20'	'36'	'50'	'32'	'42'	'46'	'15'	'10'	'15'
'2681'	'농협, 뚜레쥬르 앞'	'주말'	'2010-07-04'	'19시~20시까지'	'321094'	'530095'	'경기도 성남시 정자1동'	'맑음'	'33'	'24'	'22'	'19'	'43'	'22'	'13'	'35'	'24'	'19'
'2682'	'르노삼성정비 앞(컴퓨터 A/S 센터)'	'주중'	'2010-07-06'	'12시~13시까지'	'321512'	'530033'	'경기도 성남시 정자1동'	'흐림'	'2'	'4'	'5'	'5'	'6'	'0'	'1'	'5'	'9'	'1'
'2682'	'르노삼성정비 앞(컴퓨터 A/S 센터)'	'주중'	'2010-07-06'	'19시~20시까지'	'321512'	'530033'	'경기도 성남시 정자1동'	'흐림'	'10'	'16'	'19'	'22'	'13'	'8'	'20'	'24'	'35'	'21'
'2682'	'르노삼성정비 앞(컴퓨터 A/S 센터)'	'주말'	'2010-07-04'	'12시~13시까지'	'321512'	'530033'	'경기도 성남시 정자1동'	'맑음'	'11'	'10'	'20'	'21'	'9'	'12'	'15'	'17'	'26'	'8'
'2682'	'르노삼성정비 앞(컴퓨터 A/S 센터)'	'주말'	'2010-07-04'	'19시~20시까지'	'321512'	'530033'	'경기도 성남시 정자1동'	'맑음'	'7'	'36'	'35'	'40'	'29'	'18'	'21'	'19'	'36'	'17'
'2683'	'정자동 카페거리(베스킨라빈스 앞)'	'주중'	'2010-07-07'	'12시~13시까지'	'321009'	'530258'	'경기도 성남시 정자1동'	'흐림'	'0'	'2'	'11'	'8'	'9'	'1'	'6'	'8'	'7'	'6'
'2683'	'정자동 카페거리(베스킨라빈스 앞)'	'주중'	'2010-07-07'	'19시~20시까지'	'321009'	'530258'	'경기도 성남시 정자1동'	'흐림'	'3'	'7'	'5'	'12'	'5'	'4'	'21'	'18'	'5'	'2'
'2683'	'정자동 카페거리(베스킨라빈스 앞)'	'주말'	'2010-07-10'	'12시~13시까지'	'321009'	'530258'	'경기도 성남시 정자1동'	'흐림'	'3'	'7'	'9'	'10'	'5'	'1'	'45'	'26'	'18'	'9'
'2683'	'정자동 카페거리(베스킨라빈스 앞)'	'주말'	'2010-07-10'	'19시~20시까지'	'321009'	'530258'	'경기도 성남시 정자1동'	'흐림'	'8'	'65'	'28'	'38'	'1'	'14'	'118'	'31'	'28'	'4'
'2684'	'정자동 카페사거리(페밀리 마트앞 건널목)'	'주중'	'2010-07-07'	'12시~13시까지'	'321112'	'530237'	'경기도 성남시 정자1동'	'흐림'	'5'	'1'	'4'	'7'	'7'	'2'	'7'	'11'	'8'	'6'
'2684'	'정자동 카페사거리(페밀리 마트앞 건널목)'	'주중'	'2010-07-07'	'19시~20시까지'	'321112'	'530237'	'경기도 성남시 정자1동'	'흐림'	'9'	'16'	'13'	'20'	'9'	'4'	'26'	'20'	'13'	'5'
'2684'	'정자동 카페사거리(페밀리 마트앞 건널목)'	'주말'	'2010-07-10'	'12시~13시까지'	'321112'	'530237'	'경기도 성남시 정자1동'	'흐림'	'8'	'29'	'20'	'13'	'19'	'3'	'33'	'19'	'17'	'26'
'2684'	'정자동 카페사거리(페밀리 마트앞 건널목)'	'주말'	'2010-07-10'	'19시~20시까지'	'321112'	'530237'	'경기도 성남시 정자1동'	'흐림'	'13'	'41'	'43'	'29'	'34'	'20'	'65'	'48'	'51'	'21'
'2685'	'정자1동 서울24시감자탕, 구이랑'	'주중'	'2010-07-08'	'12시~13시까지'	'321777'	'530229'	'경기도 성남시 정자동'	'흐림'	'3'	'6'	'11'	'1'	'4'	'7'	'5'	'13'	'9'	'3'
'2685'	'정자1동 서울24시감자탕, 구이랑'	'주중'	'2010-07-08'	'19시~20시까지'	'321777'	'530229'	'경기도 성남시 정자동'	'흐림'	'28'	'19'	'14'	'8'	'16'	'32'	'26'	'21'	'11'	'20'
'2685'	'정자1동 서울24시감자탕, 구이랑'	'주말'	'2010-07-11'	'12시~13시까지'	'321777'	'530229'	'경기도 성남시 정자동'	'비'	'28'	'19'	'31'	'17'	'20'	'17'	'24'	'35'	'28'	'19'
'2685'	'정자1동 서울24시감자탕, 구이랑'	'주말'	'2010-07-11'	'19시~20시까지'	'321777'	'530229'	'경기도 성남시 정자동'	'비'	'16'	'40'	'14'	'47'	'10'	'15'	'36'	'10'	'17'	'10'
'2686'	'수이학원 앞(지하도 앞)'	'주중'	'2010-07-08'	'12시~13시까지'	'321581'	'530539'	'경기도 성남시 정자1동'	'비'	'5'	'1'	'4'	'7'	'7'	'7'	'2'	'11'	'8'	'6'
'2686'	'수이학원 앞(지하도 앞)'	'주중'	'2010-07-08'	'19시~20시까지'	'321581'	'530539'	'경기도 성남시 정자1동'	'비'	'40'	'5'	'9'	'13'	'7'	'45'	'8'	'18'	'13'	'13'
'2686'	'수이학원 앞(지하도 앞)'	'주말'	'2010-07-11'	'12시~13시까지'	'321581'	'530539'	'경기도 성남시 정자1동'	'비'	'25'	'16'	'1'	'13'	'5'	'30'	'10'	'20'	'18'	'17'
'2686'	'수이학원 앞(지하도 앞)'	'주말'	'2010-07-11'	'19시~20시까지'	'321581'	'530539'	'경기도 성남시 정자1동'	'비'	'12'	'19'	'12'	'6'	'9'	'8'	'9'	'8'	'11'	'3'
'2718'	'던킨도너츠앞'	'주중'	'2010-07-01'	'12시~13시까지'	'322873'	'529809'	'경기도 성남시 수내3동'	'맑음'	'39'	'16'	'22'	'16'	'25'	'29'	'17'	'57'	'82'	'38'
'2718'	'던킨도너츠앞'	'주중'	'2010-07-01'	'19시~20시까지'	'322873'	'529809'	'경기도 성남시 수내3동'	'맑음'	'93'	'30'	'38'	'40'	'30'	'68'	'35'	'88'	'125'	'21'
'2718'	'던킨도너츠앞'	'주말'	'2010-07-04'	'12시~13시까지'	'322873'	'529809'	'경기도 성남시 수내3동'	'맑음'	'56'	'27'	'19'	'39'	'35'	'45'	'35'	'39'	'37'	'39'
'2718'	'던킨도너츠앞'	'주말'	'2010-07-04'	'19시~20시까지'	'322873'	'529809'	'경기도 성남시 수내3동'	'맑음'	'110'	'53'	'37'	'56'	'42'	'89'	'70'	'69'	'54'	'23'
'2719'	'홈플러스앞'	'주중'	'2010-07-01'	'12시~13시까지'	'322823'	'529767'	'경기도 성남시 수내3동'	'맑음'	'74'	'22'	'18'	'25'	'64'	'40'	'37'	'40'	'69'	'93'
'2719'	'홈플러스앞'	'주중'	'2010-07-01'	'19시~20시까지'	'322823'	'529767'	'경기도 성남시 수내3동'	'맑음'	'55'	'34'	'10'	'30'	'44'	'125'	'40'	'40'	'88'	'52'
'2719'	'홈플러스앞'	'주말'	'2010-07-04'	'12시~13시까지'	'322823'	'529767'	'경기도 성남시 수내3동'	'맑음'	'100'	'41'	'31'	'31'	'30'	'63'	'42'	'78'	'42'	'31'
'2719'	'홈플러스앞'	'주말'	'2010-07-04'	'19시~20시까지'	'322823'	'529767'	'경기도 성남시 수내3동'	'맑음'	'88'	'52'	'27'	'40'	'40'	'152'	'45'	'80'	'52'	'48'
'2721'	'바이더웨이앞'	'주중'	'2010-06-23'	'12시~13시까지'	'323535'	'534834'	'경기도 성남시 야탑동'	'맑음'	'4'	'23'	'36'	'38'	'37'	'0'	'12'	'27'	'26'	'28'
'2721'	'바이더웨이앞'	'주중'	'2010-06-23'	'19시~20시까지'	'323535'	'534834'	'경기도 성남시 야탑동'	'맑음'	'95'	'13'	'39'	'59'	'28'	'58'	'36'	'61'	'66'	'17'
'2721'	'바이더웨이앞'	'주말'	'2010-06-26'	'12시~13시까지'	'323535'	'534834'	'경기도 성남시 야탑동'	'맑음'	'35'	'34'	'45'	'24'	'35'	'19'	'26'	'28'	'38'	'11'
'2721'	'바이더웨이앞'	'주말'	'2010-06-26'	'19시~20시까지'	'323535'	'534834'	'경기도 성남시 야탑동'	'맑음'	'36'	'38'	'25'	'19'	'23'	'33'	'32'	'14'	'29'	'25'
'2722'	'공룡고기앞'	'주중'	'2010-06-23'	'12시~13시까지'	'323531'	'534705'	'경기도 성남시 야탑1동'	'맑음'	'5'	'18'	'46'	'22'	'36'	'1'	'14'	'29'	'39'	'32'
'2722'	'공룡고기앞'	'주중'	'2010-06-23'	'19시~20시까지'	'323531'	'534705'	'경기도 성남시 야탑1동'	'맑음'	'49'	'36'	'36'	'33'	'50'	'44'	'33'	'61'	'65'	'63'
'2722'	'공룡고기앞'	'주말'	'2010-06-26'	'12시~13시까지'	'323531'	'534705'	'경기도 성남시 야탑1동'	'맑음'	'56'	'32'	'19'	'24'	'28'	'15'	'12'	'23'	'29'	'40'
'2722'	'공룡고기앞'	'주말'	'2010-06-26'	'19시~20시까지'	'323531'	'534705'	'경기도 성남시 야탑1동'	'맑음'	'13'	'8'	'7'	'7'	'26'	'11'	'9'	'16'	'6'	'22'
'2723'	'빠리바케트앞'	'주중'	'2010-06-24'	'12시~13시까지'	'323936'	'534785'	'경기도 성남시 야탑동'	'맑음'	'26'	'29'	'70'	'97'	'61'	'5'	'45'	'57'	'34'	'23'
'2723'	'빠리바케트앞'	'주중'	'2010-06-24'	'19시~20시까지'	'323936'	'534785'	'경기도 성남시 야탑동'	'맑음'	'98'	'21'	'41'	'62'	'46'	'110'	'19'	'59'	'102'	'18'
'2723'	'빠리바케트앞'	'주말'	'2010-06-27'	'12시~13시까지'	'323936'	'534785'	'경기도 성남시 야탑동'	'맑음'	'90'	'48'	'42'	'39'	'25'	'39'	'37'	'56'	'28'	'29'
'2723'	'빠리바케트앞'	'주말'	'2010-06-27'	'19시~20시까지'	'323936'	'534785'	'경기도 성남시 야탑동'	'맑음'	'55'	'23'	'39'	'36'	'34'	'40'	'28'	'27'	'43'	'28'
'2724'	'GS25앞'	'주중'	'2010-06-24'	'12시~13시까지'	'323919'	'534713'	'경기도 성남시 야탑동'	'맑음'	'19'	'40'	'107'	'92'	'59'	'3'	'32'	'100'	'70'	'24'
'2724'	'GS25앞'	'주중'	'2010-06-24'	'19시~20시까지'	'323919'	'534713'	'경기도 성남시 야탑동'	'맑음'	'140'	'44'	'92'	'81'	'47'	'160'	'34'	'99'	'91'	'39'
'2724'	'GS25앞'	'주말'	'2010-06-27'	'12시~13시까지'	'323919'	'534713'	'경기도 성남시 야탑동'	'맑음'	'165'	'63'	'50'	'72'	'54'	'85'	'34'	'50'	'66'	'24'
'2724'	'GS25앞'	'주말'	'2010-06-27'	'19시~20시까지'	'323919'	'534713'	'경기도 성남시 야탑동'	'맑음'	'93'	'46'	'9'	'27'	'67'	'82'	'38'	'9'	'22'	'63'
'2725'	'패밀리마트앞'	'주중'	'2010-06-25'	'12시~13시까지'	'323398'	'530974'	'경기도 성남시 서현동'	'맑음'	'39'	'24'	'30'	'23'	'45'	'51'	'21'	'56'	'106'	'87'
'2725'	'패밀리마트앞'	'주중'	'2010-06-25'	'19시~20시까지'	'323398'	'530974'	'경기도 성남시 서현동'	'맑음'	'80'	'16'	'29'	'28'	'78'	'68'	'40'	'72'	'133'	'60'
'2725'	'패밀리마트앞'	'주말'	'2010-07-03'	'12시~13시까지'	'323398'	'530974'	'경기도 성남시 서현동'	'비'	'46'	'17'	'31'	'35'	'41'	'67'	'43'	'37'	'56'	'31'
'2725'	'패밀리마트앞'	'주말'	'2010-07-03'	'19시~20시까지'	'323398'	'530974'	'경기도 성남시 서현동'	'비'	'24'	'50'	'13'	'21'	'47'	'26'	'54'	'22'	'45'	'49'
'2726'	'GS25앞'	'주중'	'2010-06-25'	'12시~13시까지'	'323424'	'530923'	'경기도 성남시 서현2동'	'맑음'	'68'	'49'	'17'	'30'	'83'	'62'	'64'	'46'	'110'	'147'
'2726'	'GS25앞'	'주중'	'2010-06-25'	'19시~20시까지'	'323424'	'530923'	'경기도 성남시 서현2동'	'맑음'	'98'	'42'	'19'	'37'	'76'	'60'	'100'	'80'	'139'	'138'
'2726'	'GS25앞'	'주말'	'2010-07-03'	'12시~13시까지'	'323424'	'530923'	'경기도 성남시 서현2동'	'비'	'75'	'42'	'30'	'41'	'75'	'85'	'65'	'43'	'80'	'66'
'2726'	'GS25앞'	'주말'	'2010-07-03'	'19시~20시까지'	'323424'	'530923'	'경기도 성남시 서현2동'	'비'	'80'	'58'	'20'	'55'	'50'	'38'	'80'	'45'	'90'	'30'
'2727'	'열린하늘문교회앞'	'주중'	'2010-07-07'	'12시~13시까지'	'322786'	'534080'	'경기도 성남시 야탑3동'	'흐림'	'3'	'16'	'23'	'20'	'43'	'1'	'10'	'22'	'32'	'20'
'2727'	'열린하늘문교회앞'	'주중'	'2010-07-07'	'19시~20시까지'	'322786'	'534080'	'경기도 성남시 야탑3동'	'흐림'	'108'	'34'	'30'	'13'	'30'	'66'	'19'	'38'	'54'	'16'
'2727'	'열린하늘문교회앞'	'주말'	'2010-07-10'	'12시~13시까지'	'322786'	'534080'	'경기도 성남시 야탑3동'	'흐림'	'86'	'28'	'18'	'11'	'19'	'60'	'26'	'29'	'28'	'18'
'2727'	'열린하늘문교회앞'	'주말'	'2010-07-10'	'19시~20시까지'	'322786'	'534080'	'경기도 성남시 야탑3동'	'흐림'	'69'	'22'	'15'	'25'	'32'	'70'	'20'	'26'	'34'	'17'
'2728'	'두레교회앞'	'주중'	'2010-07-07'	'12시~13시까지'	'322888'	'534078'	'경기도 성남시 야탑3동'	'흐림'	'10'	'29'	'30'	'42'	'33'	'7'	'74'	'74'	'74'	'72'
'2728'	'두레교회앞'	'주중'	'2010-07-07'	'19시~20시까지'	'322888'	'534078'	'경기도 성남시 야탑3동'	'흐림'	'240'	'25'	'6'	'33'	'14'	'300'	'60'	'34'	'100'	'30'
'2728'	'두레교회앞'	'주말'	'2010-07-10'	'12시~13시까지'	'322888'	'534078'	'경기도 성남시 야탑3동'	'흐림'	'68'	'10'	'9'	'18'	'8'	'52'	'11'	'16'	'8'	'9'
'2728'	'두레교회앞'	'주말'	'2010-07-10'	'19시~20시까지'	'322888'	'534078'	'경기도 성남시 야탑3동'	'흐림'	'43'	'16'	'15'	'18'	'15'	'27'	'19'	'15'	'15'	'18'
'2729'	'수내역4번출구앞'	'주중'	'2010-07-08'	'12시~13시까지'	'321848'	'531179'	'경기도 성남시 수내1동'	'흐림'	'5'	'31'	'76'	'49'	'84'	'3'	'46'	'65'	'80'	'49'
'2729'	'수내역4번출구앞'	'주중'	'2010-07-08'	'19시~20시까지'	'321848'	'531179'	'경기도 성남시 수내1동'	'흐림'	'35'	'74'	'64'	'66'	'107'	'16'	'82'	'69'	'87'	'35'
'2729'	'수내역4번출구앞'	'주말'	'2010-07-11'	'12시~13시까지'	'321848'	'531179'	'경기도 성남시 수내1동'	'비'	'78'	'114'	'86'	'50'	'52'	'49'	'163'	'128'	'75'	'55'
'2729'	'수내역4번출구앞'	'주말'	'2010-07-11'	'19시~20시까지'	'321848'	'531179'	'경기도 성남시 수내1동'	'비'	'60'	'108'	'111'	'54'	'73'	'95'	'133'	'188'	'124'	'58'
'2730'	'수내역2번출구앞'	'주중'	'2010-07-08'	'12시~13시까지'	'321655'	'530934'	'경기도 성남시 수내1동'	'흐림'	'17'	'63'	'245'	'219'	'337'	'15'	'83'	'397'	'488'	'329'
'2730'	'수내역2번출구앞'	'주중'	'2010-07-08'	'19시~20시까지'	'321655'	'530934'	'경기도 성남시 수내1동'	'흐림'	'70'	'170'	'235'	'350'	'160'	'55'	'205'	'415'	'363'	'180'
'2730'	'수내역2번출구앞'	'주말'	'2010-07-11'	'12시~13시까지'	'321655'	'530934'	'경기도 성남시 수내1동'	'비'	'36'	'121'	'54'	'41'	'33'	'36'	'130'	'74'	'42'	'44'
'2730'	'수내역2번출구앞'	'주말'	'2010-07-11'	'19시~20시까지'	'321655'	'530934'	'경기도 성남시 수내1동'	'비'	'39'	'48'	'106'	'54'	'40'	'33'	'75'	'101'	'51'	'33'
'2805'	'서현역 5번출구'	'주중'	'2010-07-02'	'12시~13시까지'	'322633'	'531881'	'경기도 성남시 서현동'	'흐림'	'4'	'253'	'149'	'176'	'192'	'5'	'369'	'355'	'345'	'183'
'2805'	'서현역 5번출구'	'주중'	'2010-07-02'	'19시~20시까지'	'322633'	'531881'	'경기도 성남시 서현동'	'흐림'	'158'	'540'	'465'	'495'	'133'	'94'	'890'	'430'	'300'	'90'
'2805'	'서현역 5번출구'	'주말'	'2010-07-03'	'12시~13시까지'	'322633'	'531881'	'경기도 성남시 서현동'	'비'	'176'	'163'	'90'	'83'	'96'	'398'	'196'	'93'	'87'	'59'
'2805'	'서현역 5번출구'	'주말'	'2010-07-03'	'19시~20시까지'	'322633'	'531881'	'경기도 성남시 서현동'	'비'	'160'	'348'	'281'	'233'	'67'	'482'	'473'	'113'	'76'	'29'
'2806'	'서현역 4번출구'	'주중'	'2010-07-02'	'12시~13시까지'	'322480'	'531797'	'경기도 성남시 서현동'	'흐림'	'0'	'159'	'222'	'182'	'134'	'7'	'211'	'340'	'278'	'180'
'2806'	'서현역 4번출구'	'주중'	'2010-07-02'	'19시~20시까지'	'322480'	'531797'	'경기도 성남시 서현동'	'흐림'	'30'	'415'	'280'	'215'	'141'	'156'	'535'	'395'	'230'	'105'
'2806'	'서현역 4번출구'	'주말'	'2010-07-03'	'12시~13시까지'	'322480'	'531797'	'경기도 성남시 서현동'	'비'	'44'	'102'	'134'	'86'	'67'	'457'	'112'	'89'	'70'	'58'
'2806'	'서현역 4번출구'	'주말'	'2010-07-03'	'19시~20시까지'	'322480'	'531797'	'경기도 성남시 서현동'	'비'	'70'	'552'	'250'	'132'	'71'	'445'	'650'	'140'	'125'	'62'
'3249'	'모란역 4번출구'	'주중'	'2010-06-09'	'12시~13시까지'	'323156'	'536923'	'경기도 성남시 성남동'	'맑음'	'0'	'144'	'60'	'24'	'290'	'0'	'206'	'102'	'174'	'156'
'3249'	'모란역 4번출구'	'주중'	'2010-06-09'	'19시~20시까지'	'323156'	'536923'	'경기도 성남시 성남동'	'맑음'	'6'	'204'	'150'	'186'	'144'	'12'	'198'	'120'	'204'	'36'
'3249'	'모란역 4번출구'	'주말'	'2010-06-12'	'12시~13시까지'	'323156'	'536923'	'경기도 성남시 성남동'	'비'	'98'	'272'	'84'	'188'	'392'	'146'	'268'	'126'	'206'	'452'
'3249'	'모란역 4번출구'	'주말'	'2010-06-12'	'19시~20시까지'	'323156'	'536923'	'경기도 성남시 성남동'	'비'	'186'	'516'	'160'	'358'	'208'	'278'	'510'	'240'	'310'	'152'
'3264'	'모란역 7번출구'	'주중'	'2010-06-09'	'12시~13시까지'	'323081'	'537051'	'경기도 성남시 성남동'	'맑음'	'0'	'96'	'18'	'78'	'300'	'0'	'54'	'18'	'120'	'240'
'3264'	'모란역 7번출구'	'주중'	'2010-06-09'	'19시~20시까지'	'323081'	'537051'	'경기도 성남시 성남동'	'맑음'	'24'	'150'	'120'	'108'	'276'	'2'	'204'	'126'	'128'	'210'
'3264'	'모란역 7번출구'	'주말'	'2010-06-12'	'12시~13시까지'	'323081'	'537051'	'경기도 성남시 성남동'	'비'	'0'	'60'	'118'	'124'	'1700'	'4'	'74'	'248'	'134'	'1308'
'3264'	'모란역 7번출구'	'주말'	'2010-06-12'	'19시~20시까지'	'323081'	'537051'	'경기도 성남시 성남동'	'비'	'126'	'140'	'188'	'174'	'650'	'86'	'196'	'170'	'140'	'394'
'3267'	'파리바게트앞'	'주중'	'2010-06-03'	'12시~13시까지'	'323808'	'536764'	'경기도 성남시 성남동'	'맑음'	'2'	'30'	'32'	'20'	'164'	'4'	'30'	'36'	'46'	'136'
'3267'	'파리바게트앞'	'주중'	'2010-06-03'	'19시~20시까지'	'323808'	'536764'	'경기도 성남시 성남동'	'맑음'	'20'	'50'	'60'	'40'	'124'	'20'	'60'	'90'	'76'	'84'
'3267'	'파리바게트앞'	'주말'	'2010-06-06'	'12시~13시까지'	'323808'	'536764'	'경기도 성남시 성남동'	'맑음'	'120'	'36'	'72'	'36'	'66'	'54'	'60'	'30'	'72'	'116'
'3267'	'파리바게트앞'	'주말'	'2010-06-06'	'19시~20시까지'	'323808'	'536764'	'경기도 성남시 성남동'	'맑음'	'126'	'30'	'98'	'42'	'8'	'86'	'30'	'78'	'30'	'48'
'3269'	'바다약국'	'주중'	'2010-06-03'	'12시~13시까지'	'323790'	'536805'	'경기도 성남시 성남동'	'맑음'	'14'	'42'	'30'	'60'	'114'	'10'	'58'	'90'	'24'	'72'
'3269'	'바다약국'	'주중'	'2010-06-03'	'19시~20시까지'	'323790'	'536805'	'경기도 성남시 성남동'	'맑음'	'42'	'48'	'24'	'6'	'24'	'30'	'24'	'24'	'18'	'30'
'3269'	'바다약국'	'주말'	'2010-06-06'	'12시~13시까지'	'323790'	'536805'	'경기도 성남시 성남동'	'맑음'	'120'	'36'	'72'	'36'	'66'	'54'	'60'	'30'	'72'	'116'
'3269'	'바다약국'	'주말'	'2010-06-06'	'19시~20시까지'	'323790'	'536805'	'경기도 성남시 성남동'	'맑음'	'126'	'30'	'98'	'42'	'96'	'86'	'30'	'78'	'30'	'48'
'3274'	'종합장식'	'주중'	'2010-06-10'	'12시~13시까지'	'324884'	'536722'	'경기도 성남시 하대원동'	'맑음'	'18'	'36'	'24'	'12'	'72'	'6'	'24'	'78'	'120'	'198'
'3274'	'종합장식'	'주중'	'2010-06-10'	'19시~20시까지'	'324884'	'536722'	'경기도 성남시 하대원동'	'맑음'	'66'	'84'	'42'	'12'	'108'	'102'	'72'	'90'	'168'	'246'
